Perguntas;Respostas;Produto
Operador não está conseguindo fazer login, erro no login, não consegue logar;O colaborador está cadastrado no WSFM WEB e está habilitado para o grupo de máquina? Se sim, você deve abrir chamado para TI no portal WBS. Dúvidas, ver procedimento item 6.1 Manual WSFM. Caso contrário, é necessário cadastrar funcionário no WSFM WEB conforme item 4.1.10 do manual Geral - Responsável: Técnico WSFM que atende a área.;WSFM
Não está abrindo a ordem, erro de abertura de ordem;Está tentando abrir a ordem de produção no CT para qual foi programado pelo PCP? A operação anterior foi apontada no SAP? Se sim, você deve abrir chamado para TI no portal WBS. Dúvidas, ver procedimento item 6.1 Manual WSFM. Caso contrário, é necessário alterar o roteiro para o CT alternativo e reler a ordem e então apontar operação anterior - Responsável: PCP que atende a área.;WSFM
O ferramental não está validando, erro de validação de ferramental;O ferramental está cadastrado no MAP (SAP)? Está cadastrado e configurado para o CT no WSFM WEB? Se sim, você deve abrir chamado para TI no portal WBS. Dúvidas, ver procedimento item 6.1 Manual WSFM. Caso contrário, é necessário cadastrar ferramental no MAP (SAP) - Responsável: Métodos e Tempos que atende a área. Deve também cadastrar e configurar o ferramental no WSFM WEB - Responsável: Técnico WSFM que atende a área.;WSFM
Eventos controlados, senha incorreta;A senha informada para acessar os eventos controlados está incorreta? Se sim, você deve verificar senha cadastrada nas configuraççes do WSFM WEB conforme item 4.4 do manual Geral - Responsável: Técnico WSFM que atende a área. Caso contrário, é necessário abrir chamado para TI no portal WBS. Dúvidas, ver procedimento item 6.1 Manual WSFM.;WSFM
Erro de apontamento de produção, apontar no SAP;"A falha é gerada por indisponibilidade do SAP/WSFM? 
(ver mensagem de erro exibida no coletor) Se sim, você deve abrir chamado para TI no portal WBS. Dúvidas, ver procedimento item 6.1 Manual WSFM. Caso contrário, é necessário avaliar status de apontamento no WSFM - Apontamento de ordem (informar número da ordem de produção) - Responsável: PCP que atende a área.";WSFM
OEE incorreto, OEE distorcido, OEE errado, IE errado, IQ errado, ID errado;"Algum dos índices: ID, IE, IQ, está distorcido causando OEE muito elevado/baixo por erro de apontamento? 
Se sim, você deve avaliar e corrigir apontamentos no WSFM WEB, conforme item 6.2.1 do manual Geral WSFM - Responsável: Técnico WSFM que atende a área. Caso contrário, é necessário abrir chamado para TI no portal WBS. Dúvidas, ver procedimento item 6.1 Manual WSFM.";WSFM
Erro de apontamento de produção no SAP via WSFM;"A falha é gerada por indisponibilidade do SAP/WSFM?
Se sim: Abrir chamado para TI no portal WBS.
Se não: Avaliar status de apontamento no WSFM - Apontamento de ordem (informar número da ordem de produção) - Responsável: PCP que atende a área.";WSFM
OEE incorreto, OEE distorcido, OEE errado, IE errado, IQ errado, ID errado;"Algum dos índices: ID, IE, IQ, está distorcido causando OEE muito elevado/baixo por erro de apontamento?
Se sim: Avaliar e corrigir apontamentos no WSFM WEB, conforme item 6.2.1 do manual Geral WSFM - Responsável: Técnico WSFM que atende a área.
Abrir chamado para TI no portal WBS.";WSFM
IMS não liga ou não dá sinal;"Pode ser duas coisa:  
* Falta de alimentação: Verificar se o módulo ou computador estão alimentados e a fiação está conectada e possuem algum indicador luminoso ligado
* Monitor desligado:Verificar se o monitor está corretamente conectado ao IMS e à alimentação e está ligado";WSFM
O IMS não busca a ordem de produção do SFM;"Pode ser duas coisa:  
 * Lentidão no IMS: Identificar a ordem de produção diretamente no IMS
* Erro de comunicação IMS/SFM : Configurar o código SFM correto no menu ENS e SFM da configuração geral do IMS";WSFM
